zip,po_name,state,zip_type,zcta
00501,Holtsville,NY,NA,11742
00544,Holtsville,NY,NA,11742
00601,Adjuntas,PR,NA,00601
00602,Aguada,PR,NA,00602
00603,Aguadilla,PR,NA,00603
00604,Aguadilla,PR,NA,00603
00605,Aguadilla,PR,NA,00603
00606,Maricao,PR,NA,00606
00610,Anasco,PR,NA,00610
00611,Angeles,PR,NA,00641
00612,Arecibo,PR,NA,00612
00613,Arecibo,PR,NA,00612
00614,Arecibo,PR,NA,00612
00616,Bajadero,PR,NA,00616
00617,Barceloneta,PR,NA,00617
00622,Boqueron,PR,NA,00622
00623,Cabo Rojo,PR,NA,00623
00624,Penuelas,PR,NA,00624
00627,Camuy,PR,NA,00627
00631,Castaner,PR,NA,00631
00636,Rosario,PR,NA,00680
00637,Sabana Grande,PR,NA,00637
00638,Ciales,PR,NA,00638
00641,Utuado,PR,NA,00641
00646,Dorado,PR,NA,00646
00647,Ensenada,PR,NA,00647
00650,Florida,PR,NA,00650
00652,Garrochales,PR,NA,00652
00653,Guanica,PR,NA,00653
00656,Guayanilla,PR,NA,00656
00659,Hatillo,PR,NA,00659
00660,Hormigueros,PR,NA,00660
00662,Isabela,PR,NA,00662
00664,Jayuya,PR,NA,00664
00667,Lajas,PR,NA,00667
00669,Lares,PR,NA,00669
00670,Las Marias,PR,NA,00670
00674,Manati,PR,NA,00674
00676,Moca,PR,NA,00676
00677,Rincon,PR,NA,00677
00678,Quebradillas,PR,NA,00678
00680,Mayaguez,PR,NA,00680
00681,Mayaguez,PR,NA,00680
00682,Mayaguez,PR,NA,00682
00683,San German,PR,NA,00683
00685,San Sebastian,PR,NA,00685
00687,Morovis,PR,NA,00687
00688,Sabana Hoyos,PR,NA,00688
00690,San Antonio,PR,NA,00690
00692,Vega Alta,PR,NA,00692
00693,Vega Baja,PR,NA,00693
00694,Vega Baja,PR,NA,00694
00698,Yauco,PR,NA,00698
00703,Aguas Buenas,PR,NA,00703
00704,Aguirre,PR,NA,00704
00705,Aibonito,PR,NA,00705
00707,Maunabo,PR,NA,00707
00714,Arroyo,PR,NA,00714
00715,Mercedita,PR,NA,00715
00716,Ponce,PR,NA,00716
00717,Ponce,PR,NA,00717
00718,Naguabo,PR,NA,00718
00719,Naranjito,PR,NA,00719
00720,Orocovis,PR,NA,00720
00721,Palmer,PR,NA,00745
00723,Patillas,PR,NA,00723
00725,Caguas,PR,NA,00725
00726,Caguas,PR,NA,00725
00727,Caguas,PR,NA,00727
00728,Ponce,PR,NA,00728
00729,Canovanas,PR,NA,00729
00730,Ponce,PR,NA,00730
00731,Ponce,PR,NA,00731
00732,Ponce,PR,NA,00730
00733,Ponce,PR,NA,00730
00734,Ponce,PR,NA,00730
00735,Ceiba,PR,NA,00735
00736,Cayey,PR,NA,00736
00737,Cayey,PR,NA,00736
00738,Fajardo,PR,NA,00738
00739,Cidra,PR,NA,00739
00740,Puerto Real,PR,NA,00740
00741,Punta Santiago,PR,NA,00741
00742,Roosevelt Roads,PR,NA,00735
00744,Rio Blanco,PR,NA,00718
00745,Rio Grande,PR,NA,00745
00751,Salinas,PR,NA,00751
00754,San Lorenzo,PR,NA,00754
00757,Santa Isabel,PR,NA,00757
00765,Vieques,PR,NA,00765
00766,Villalba,PR,NA,00766
00767,Yabucoa,PR,NA,00767
00769,Coamo,PR,NA,00769
00771,Las Piedras,PR,NA,00771
00772,Loiza,PR,NA,00772
00773,Luquillo,PR,NA,00773
00775,Culebra,PR,NA,00775
00777,Juncos,PR,NA,00777
00778,Gurabo,PR,NA,00778
00780,Coto Laurel,PR,NA,00780
00782,Comerio,PR,NA,00782
00783,Corozal,PR,NA,00783
00784,Guayama,PR,NA,00784
00785,Guayama,PR,NA,00784
00786,La Plata,PR,NA,00786
00791,Humacao,PR,NA,00791
00792,Humacao,PR,NA,00791
00794,Barranquitas,PR,NA,00794
00795,Juana Diaz,PR,NA,00795
00801,St Thomas,VI,NA,00801
00802,St Thomas,VI,NA,00802
00803,St Thomas,VI,NA,00802
00804,St Thomas,VI,NA,00802
